The Shawshank Redemption,1994,Drama,9.3
The Godfather,1972,Crime,9.2
The Godfather: Part II,1974,Crime,9
The Dark Knight,2008,Action,9
12 Angry Men,1957,Crime,8.9
Schindler's List,1993,Biography,8.9
Pulp Fiction,1994,Crime,8.9
The Lord of the Rings: The Return of the King,2003,Action,8.9
Forrest Gump,1994,Drama,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,Action,8.8
Fight Club,1999,Drama,8.8
Inception,2010,Sci-Fi,8.8
Dag II,2016,Action,8.8
Dil Bechara,2020,Comedy,8.8
One Flew Over the Cuckoo's Nest,1975,Drama,8.7
Star Wars: Episode V - The Empire Strikes Back,1980,Action,8.7
Goodfellas,1990,Crime,8.7
The Matrix,1999,Sci-Fi,8.7
The Lord of the Rings: The Two Towers,2002,Action,8.7
It's a Wonderful Life,1946,Drama,8.6
